City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
28,Hilo,US,74.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
29,Barranca,PE,70.84,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
37,Sur,OM,74.66,clear sky,22.5667,59.5289,Sur Plaza Hotel
38,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Langsa,ID,74.35,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
61,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
67,Rio Grande,BR,74.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
77,Lucapa,AO,70.65,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
101,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
102,Alta Floresta,BR,73.51,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
159,Pyay,MM,71.62,broken clouds,18.8167,95.2167,Shwe Pyi Thar
212,Mwinilunga,ZM,71.02,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
247,Chuy,UY,72.73,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
263,Mizan Teferi,ET,70.47,broken clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
268,Japura,ID,74.07,light rain,-0.3167,102.35,Rumah mbah Jamah
273,Cristalina,BR,74.21,broken clouds,-16.7686,-47.6136,HOTEL TOPAZIO
274,Dillon,US,73.65,overcast clouds,34.4166,-79.3712,Dillon Express Inn
301,Turbat,PK,71.4,clear sky,26.0023,63.044,Mubashar Quarters
329,Hualmay,PE,72.07,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
367,Rio Gallegos,AR,73.45,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
389,Namibe,AO,72.41,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
390,Tocopilla,CL,72.03,scattered clouds,-22.092,-70.1979,Hotel Galvarino
399,Dingle,PH,71.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
402,Quepem,IN,74.16,scattered clouds,15.2167,74.0667,Casa Mascarenhas
417,Richards Bay,ZA,73.27,heavy intensity rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
431,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
437,Mareeba,AU,70.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
438,Huarmey,PE,71.83,broken clouds,-10.0681,-78.1522,Hotel Miramar
441,Emerald,AU,73.98,clear sky,-23.5333,148.1667,The Irish Village
455,Parung,ID,74.17,overcast clouds,-6.4214,106.7331,Bajay Home Stay
456,Bilma,NE,73.6,few clouds,18.6853,12.9164,Expeditions Ténére voyages
459,Cam Ranh,VN,71.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
460,Atambua,ID,74.82,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
463,Hervey Bay,AU,71.04,light rain,-25.2986,152.8535,Shelly Bay Resort
484,Pathein,MM,72.68,few clouds,16.7833,94.7333,New Pammawaddy Hotel
527,Pisco,PE,71.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
536,Cidreira,BR,73.18,broken clouds,-30.1811,-50.2056,Hotel Castelo
548,Naliya,IN,73.45,clear sky,23.2667,68.8333,jadeja jayendrasinh
556,Bandarban,BD,70.97,overcast clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
562,Ixtlahuacan Del Rio,MX,70.07,broken clouds,20.8667,-103.25,HOTEL RAMIREZ
574,Viedma,AR,72.97,overcast clouds,-40.8135,-62.9967,Hotel Cristal
579,Diu,IN,73.74,clear sky,20.7141,70.9822,Hotel Relax Inn
588,Loa Janan,ID,74.41,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
590,Pirganj,BD,70.86,broken clouds,25.8523,88.3618,Modern Hostel
611,Soyo,AO,73.45,overcast clouds,-6.1349,12.3689,Hotel Mpampa
612,Kutum,SD,74.52,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
620,Popondetta,PG,73.89,overcast clouds,-8.7537,148.2534,Timos Transit House
629,Antofagasta,CL,70.21,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
647,Bundaberg,AU,71.22,light rain,-24.85,152.35,Takalvan Motel
652,Mackay,AU,73.69,clear sky,-21.15,149.2,International Lodge Motel
654,Kadhan,PK,72.48,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
658,Bitung,ID,74.25,moderate rain,1.4451,125.1824,K2 Lembeh
682,Bandar-E Lengeh,IR,71.71,few clouds,26.5579,54.8807,کافی نت پارس
687,Biloela,AU,70.81,scattered clouds,-24.4167,150.5,Biloela Silo Motor Inn
729,Palasa,IN,70.3,light rain,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
748,Voh,NC,74.37,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
773,Longview,US,74.07,broken clouds,32.5007,-94.7405,Homewood Suites by Hilton Longview
785,San Antonio,US,74.52,overcast clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
788,Danville,US,71.1,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
