City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dhanaula,IN,30.2833,75.5833,65.8,50,0,4.09,clear sky
1,Berezovyy,RU,51.6667,135.7,-6.68,89,19,4.54,few clouds
2,Busselton,AU,-33.65,115.3333,62.1,74,0,12.5,clear sky
3,Jamestown,US,42.097,-79.2353,42.39,75,97,17.0,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,58.48,93,58,3.0,light rain
5,Turan,VN,16.0678,108.2208,69.78,64,75,0.0,broken clouds
6,East London,ZA,-33.0153,27.9116,68.54,93,100,16.73,light rain
7,Opunake,NZ,-39.4556,173.8583,64.35,83,99,15.03,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,57.67,33,31,7.2,scattered clouds
9,Georgetown,MY,5.4112,100.3354,80.89,79,20,8.05,few clouds
10,Kaitangata,NZ,-46.2817,169.8464,55.22,94,91,4.63,light rain
11,Chinna Salem,IN,11.65,78.9,76.24,87,46,2.1,scattered clouds
12,Guilin,CN,25.2819,110.2864,48.69,61,44,3.31,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,68.11,71,91,7.0,light rain
14,Faanui,PF,-16.4833,-151.75,80.4,73,76,17.92,light rain
15,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,71,75,1.81,broken clouds
16,Hermanus,ZA,-34.4187,19.2345,67.89,72,100,19.66,light rain
17,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,2.3,light intensity drizzle
18,Alofi,NU,-19.0595,-169.9187,78.82,80,100,3.38,overcast clouds
19,Taganak,PH,6.0833,118.3,80.06,81,100,9.82,overcast clouds
20,Roald,NO,62.5833,6.1333,39.34,60,75,11.5,broken clouds
21,Hobart,AU,-42.8794,147.3294,44.46,81,82,1.01,broken clouds
22,Broome,US,42.2506,-75.833,43.57,71,1,1.99,clear sky
23,Coquimbo,CL,-29.9533,-71.3436,67.69,64,1,9.19,clear sky
24,Kudahuvadhoo,MV,2.6708,72.8944,82.45,78,69,12.73,broken clouds
25,Christchurch,NZ,-43.5333,172.6333,68.2,60,56,5.75,broken clouds
26,Ahuimanu,US,21.4447,-157.8378,65.91,75,75,0.0,broken clouds
